latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
48.276,14.345,316.3,1.3,1.1,2018-10-19,0055,A,93,6.0NRT,282.2,26.2,N
57.037,1.961,311.1,1.1,1,2018-10-19,0230,A,73,6.0NRT,279.3,16.4,N
53.629,32.817,306.4,1.3,1.1,2018-10-19,0840,T,63,6.0NRT,284.9,12.9,D
52.959,33.778,303.7,1.2,1.1,2018-10-19,0840,T,28,6.0NRT,287.9,6.5,D
52.951,33.758,305.5,1.2,1.1,2018-10-19,0840,T,48,6.0NRT,288.3,7.7,D
52.948,33.768,300.7,1.2,1.1,2018-10-19,0840,T,41,6.0NRT,288.5,5.2,D
52.463,31.281,300.8,1.4,1.2,2018-10-19,0840,T,42,6.0NRT,289,7.2,D
51.989,34.316,330.5,1.1,1,2018-10-19,0840,T,87,6.0NRT,292,33,D
51.98,34.314,307,1.1,1,2018-10-19,0840,T,57,6.0NRT,290.7,7.1,D
52.166,31.53,300.2,1.4,1.2,2018-10-19,0840,T,33,6.0NRT,289.3,5.8,D
51.662,34.89,300.2,1.1,1,2018-10-19,0840,T,32,6.0NRT,288.8,4.6,D
51.419,33.517,313.1,1.2,1.1,2018-10-19,0840,T,73,6.0NRT,290.5,13.4,D
51.417,33.51,306.9,1.2,1.1,2018-10-19,0840,T,64,6.0NRT,290.8,8.8,D
51.415,33.527,302.2,1.2,1.1,2018-10-19,0840,T,51,6.0NRT,290.2,5.3,D
51.129,34.059,306.3,1.1,1,2018-10-19,0840,T,63,6.0NRT,293.9,5.4,D
51.044,34.235,306,1.1,1,2018-10-19,0840,T,63,6.0NRT,294.4,6.3,D
51.129,33.443,305.6,1.1,1.1,2018-10-19,0840,T,56,6.0NRT,294.4,5,D
51.128,33.459,304.1,1.1,1.1,2018-10-19,0840,T,35,6.0NRT,292.5,4.1,D
50.962,34.666,315,1.1,1,2018-10-19,0840,T,75,6.0NRT,292.6,13,D
50.96,34.681,306.4,1.1,1,2018-10-19,0840,T,63,6.0NRT,293,6.1,D
51.076,32.839,315.3,1.2,1.1,2018-10-19,0840,T,76,6.0NRT,292,15.3,D
51.066,32.836,328,1.2,1.1,2018-10-19,0840,T,85,6.0NRT,292.9,31.7,D
50.69,34.12,308.8,1.1,1,2018-10-19,0840,T,68,6.0NRT,293.4,8.6,D
50.52,33.931,314.7,1.1,1,2018-10-19,0840,T,75,6.0NRT,294,13.5,D
50.507,33.639,328.9,1.1,1.1,2018-10-19,0840,T,86,6.0NRT,293.5,30.6,D
50.302,34.352,306.7,1.1,1,2018-10-19,0840,T,63,6.0NRT,294.6,5.1,D
50.316,33.859,304.7,1.1,1,2018-10-19,0840,T,59,6.0NRT,294.1,4.5,D
50.486,32.179,301,1.2,1.1,2018-10-19,0840,T,35,6.0NRT,285.9,5.3,D
50.484,32.196,308.8,1.2,1.1,2018-10-19,0840,T,64,6.0NRT,284.7,12,D
50.011,34.81,309.2,1,1,2018-10-19,0840,T,67,6.0NRT,294.1,6.5,D
